Index,X_length,Y_length,U1,U2,Z_length
133,-1320000.0,-7761109.3,-1.9773297,-7.8499175,2.5704766
134,-1240000.0,-7761109.3,-1.8663159,-7.8835121,2.573314
135,-1160000.0,-7761109.3,-1.7536848,-7.915218,2.5759931
136,-1080000.0,-7761109.3,-1.639535,-7.9449959,2.5785108
137,-1000000.0,-7761109.3,-1.5239535,-7.9728086,2.5808634
138,-920000.0,-7761109.3,-1.4070421,-7.9986212,2.5830479
139,-840000.0,-7761109.3,-1.2888938,-8.0224009,2.5850611
140,-760000.0,-7761109.3,-1.1696135,-8.0441176,2.5869005
141,-680000.0,-7761109.3,-1.0492992,-8.0637435,2.5885631
142,-600000.0,-7761109.3,-0.92805849,-8.0812533,2.5900471
143,-520000.0,-7761109.3,-0.80599342,-8.0966244,2.5913501
144,-440000.0,-7761109.3,-0.68321398,-8.109837,2.5924705
145,-360000.0,-7761109.3,-0.55982529,-8.120874,2.5934065
146,-280000.0,-7761109.3,-0.43593914,-8.1297209,2.594157
147,-200000.0,-7761109.3,-0.31166295,-8.1363662,2.5947208
148,-120000.0,-7761109.3,-0.18710975,-8.1408012,2.595097
149,-40000.0,-7761109.3,-0.062388322,-8.1430202,2.5952852
150,40000.0,-7761109.3,0.062387721,-8.1430202,2.5952852
151,120000.0,-7761109.3,0.18710915,-8.1408012,2.595097
152,200000.0,-7761109.3,0.31166235,-8.1363662,2.5947208
153,280000.0,-7761109.3,0.43593854,-8.1297209,2.594157
154,360000.0,-7761109.3,0.55982469,-8.120874,2.5934065
155,440000.0,-7761109.3,0.68321337,-8.109837,2.5924705
156,520000.0,-7761109.3,0.80599281,-8.0966244,2.5913501
157,600000.0,-7761109.3,0.92805788,-8.0812532,2.5900471
158,680000.0,-7761109.3,1.0492986,-8.0637435,2.5885631
159,760000.0,-7761109.3,1.1696129,-8.0441176,2.5869004
160,840000.0,-7761109.3,1.2888932,-8.0224009,2.5850611
161,920000.0,-7761109.3,1.4070415,-7.9986212,2.5830479
162,1000000.0,-7761109.3,1.5239528,-7.9728086,2.5808634
163,1080000.0,-7761109.3,1.6395344,-7.9449959,2.5785108
164,1160000.0,-7761109.3,1.7536842,-7.9152179,2.575993
165,1240000.0,-7761109.3,1.8663153,-7.8835121,2.573314
166,1320000.0,-7761109.3,1.9773291,-7.8499175,2.5704766
167,1400000.0,-7761109.3,2.0866453,-7.8144758,2.5674854
168,1480000.0,-7761109.3,2.1941691,-7.77723,2.5643435
169,1560000.0,-7761109.3,2.2998277,-7.7382254,2.5610561
170,1640000.0,-7761109.3,2.4035298,-7.6975087,2.5576263
171,1720000.0,-7761109.3,2.505211,-7.6551284,2.5540597
172,1800000.0,-7761109.3,2.6047838,-7.6111343,2.5503597
173,1880000.0,-7761109.3,2.7021929,-7.5655777,2.5465322
174,1960000.0,-7761109.3,2.7973545,-7.5185108,2.5425807
175,2040000.0,-7761109.3,2.890223,-7.4699874,2.5385115
176,2120000.0,-7761109.3,2.9807179,-7.4200618,2.534328
177,2200000.0,-7761109.3,3.0688043,-7.3687895,2.5300368
178,2280000.0,-7761109.3,3.1544049,-7.3162264,2.5256413
